imdb_id,title,release_year,release_date,duration,mpaa_rating,locations
tt0084827,TRON,1982,9 July 1982,1h 36min,PG,"1150 S Olive St, Los Angeles, California, USA"
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,25 May 1983,2h 11min,PG,"Castle Dome Peak, Yuma, Arizona, USA"
tt0086250,Scarface,1983,9 December 1983,2h 50min,R,"485 West Matheson Drive, Key Biscayne, Florida, USA"
tt0086465,Trading Places,1983,8 June 1983,1h 56min,R,"The New York Chamber of Commerce Building - The Great Hall, 65 Liberty Street, New York City, New York, USA"
tt0086567,WarGames,1983,3 June 1983,1h 54min,PG,"Snohomish High School - 1316 5th Street, Snohomish, Washington, USA"
tt0086960,Beverly Hills Cop,1984,5 December 1984,1h 45min,R,"2720 Grand River Avenue, Detroit, Michigan, USA"
tt0087332,Ghostbusters,1984,8 June 1984,1h 45min,PG,"Lincoln Center, New York City, New York, USA"
tt0087469,Indiana Jones and the Temple of Doom,1984,23 May 1984,1h 58min,PG,"University of the Pacific, Stockton, California, USA"
tt0087538,The Karate Kid,1984,22 June 1984,2h 6min,PG,"5225 Lankershim Boulevard, North Hollywood, Los Angeles, California, USA"
tt0087928,Police Academy,1984,23 March 1984,1h 36min,R,"Simcoe Place, Simcoe Street, Toronto, Ontario, Canada"
tt0088128,Sixteen Candles,1984,4 May 1984,1h 33min,PG,"1423 Sycamore Lane, Northbrook, Illinois, USA"
tt0088247,The Terminator,1984,26 October 1984,1h 47min,R,"Tunnel at Lower Grand & West Gen Thad Kosciuszko Way, Los Angeles, California, USA"
tt0088258,This Is Spinal Tap,1984,2 March 1984,1h 22min,R,"California, USA"
tt0088763,Back to the Future,1985,3 July 1985,1h 56min,PG,"Santa Clarita, California, USA"
tt0088847,The Breakfast Club,1985,15 February 1985,1h 37min,R,"Park Ridge, Illinois, USA"
tt0088944,Commando,1985,4 October 1985,1h 30min,R,"Harold Lloyd's Greenacres Estate - 1740 Green Acres Drive, Beverly Hills, California, USA"
tt0089927,Rocky IV,1985,27 November 1985,1h 31min,PG,"Wyoming, USA"
tt0090605,Aliens,1986,18 July 1986,2h 17min,R,"Acton Lane Power Station, Acton Lane, Acton, London, England, UK"
tt0092099,Top Gun,1986,16 May 1986,1h 50min,PG,"California, USA"
tt0092675,Bloodsport,1988,29 April 1988,1h 32min,R,"Kowloon Walled City, Hong Kong, China"
tt0093105,"Good Morning, Vietnam",1987,15 January 1988,2h 1min,R,"Bangkok, Thailand"
tt0093409,Lethal Weapon,1987,6 March 1987,1h 50min,R,"4318 Comly Street, Los Angeles, California, USA"
tt0093773,Predator,1987,12 June 1987,1h 47min,R,"Jalisco, Mexico"
tt0093779,The Princess Bride,1987,9 October 1987,1h 38min,PG,"Penshurst Place, Penshurst, Kent, England, UK"
tt0093894,The Running Man,1987,13 November 1987,1h 41min,R,"Sony Pictures Plaza, Culver City, California, USA"
tt0094291,Wall Street,1987,11 December 1987,2h 6min,R,"The St. James's tower, 415 East 54th Street, Manhattan, New York City, New York, USA"
tt0094625,Akira,1988,16 July 1988,2h 4min,R,
tt0094898,Coming to America,1988,29 June 1988,1h 56min,R,"392 S 5th Street, Brooklyn, New York, USA"
tt0095016,Die Hard,1988,20 July 1988,2h 12min,R,"Los Angeles International Airport - 1 World Way, Los Angeles, California, USA"
tt0095953,Rain Man,1988,16 December 1988,2h 13min,R,"The Dixie Terminal, Fourth and Walnut Streets, Cincinnati, Ohio, USA"
tt0096256,They Live,1988,4 November 1988,1h 34min,R,"Downtown, Los Angeles, California, USA"
tt0096438,Who Framed Roger Rabbit,1988,22 June 1988,1h 44min,PG,USA
tt0096874,Back to the Future Part II,1989,22 November 1989,1h 48min,PG,"161 N. Magnolia Avenue, Monrovia, California, USA"
tt0097165,Dead Poets Society,1989,9 June 1989,2h 8min,PG,"Everett Theatre - 47 West Main Street, Middletown, Delaware, USA"
tt0097441,Glory,1989,16 February 1990,2h 2min,R,"African-American National Historic Site - 14 Beacon Street, Boston, Massachusetts, USA"
tt0097493,Heathers,1988,31 March 1989,1h 43min,R,"Church of the Angels - 1100 Avenue 64, Pasadena, California, USA"
tt0097576,Indiana Jones and the Last Crusade,1989,24 May 1989,2h 7min,PG-13,"Palazzi Barbaro, Grand Canal, Venice, Veneto, Italy"
tt0098258,Say Anything...,1989,14 April 1989,1h 40min,PG-13,"Los Angeles, California, USA"
tt0099685,Goodfellas,1990,21 September 1990,2h 26min,R,"19 Alfred Lane, New Rochelle, New York, USA"
tt0101507,Boyz n the Hood,1991,12 July 1991,1h 52min,R,"5918 Cimarron Street, Los Angeles, California, USA"
tt0102057,Hook,1991,11 December 1991,2h 22min,PG,"Griffith Park - 4730 Crystal Springs Drive, Los Angeles, California, USA"
tt0102526,New Jack City,1991,8 March 1991,1h 37min,R,"Grant's Tomb - 122th Street & Riverside Drive, Manhattan, New York City, New York, USA"
tt0103064,Terminator 2,1991,3 July 1991,2h 17min,R,"Santa Clarita, California, USA"
tt0103772,Basic Instinct,1992,20 March 1992,2h 7min,R,"Carmel, California, USA"
tt0104348,Glengarry Glen Ross,1992,2 October 1992,1h 40min,R,"Restaurant, 1520 Sheepshead Bay Road, Brooklyn, New York, USA"
tt0104797,Malcolm X,1992,18 November 1992,3h 22min,PG-13,USA
tt0105236,Reservoir Dogs,1992,2 September 1992,1h 39min,R,"4459 Eagle Rock Blvd, Los Angeles, California, USA"
tt0105323,Scent of a Woman,1992,8 January 1993,2h 36min,R,"New York, USA"
tt0106977,The Fugitive,1993,6 August 1993,2h 10min,PG-13,"11219 S St Lawrence Ave, Chicago, Illinois, USA"
tt0107048,Groundhog Day,1993,12 February 1993,1h 41min,PG,"344 Fremont St, Woodstock, Illinois, USA"
tt0107290,Jurassic Park,1993,11 June 1993,2h 7min,PG-13,"Jurassic Kahili Ranch, Kilauea, Kauai, Hawaii, USA"
tt0109830,Forrest Gump,1994,6 July 1994,2h 22min,PG-13,"Monument Valley, Arizona, USA"
tt0110912,Pulp Fiction,1994,14 October 1994,2h 34min,R,"1435 Flower Street, Glendale, California, USA"
tt0111161,The Shawshank Redemption,1994,14 October 1994,2h 22min,R,"St. Croix, U.S. Virgin Islands"
tt0111257,Speed,1994,10 June 1994,1h 56min,R,"MTA Subway, Hollywood and Highland Terminal, Los Angeles, California, USA"
tt0111282,Stargate,1994,28 October 1994,1h 56min,PG-13,"Ballroom, Park Plaza Hotel - 607 S. Park View Street, Los Angeles, California, USA"
tt0112442,Bad Boys,1995,7 April 1995,1h 59min,R,"Anastasia Avenue, Coral Gables, Florida, USA"
tt0112508,Billy Madison,1995,10 February 1995,1h 29min,PG-13,"Northern Secondary School, Toronto, Ontario, Canada"
tt0113189,GoldenEye,1995,17 November 1995,2h 10min,PG-13,"The Langham Hotel, Regent Street, Marylebone London, England, UK"
tt0113277,Heat,1995,15 December 1995,2h 50min,R,"Venice Boulevard at Georgia Street, Los Angeles, California, USA"
tt0114369,Se7en,1995,22 September 1995,2h 7min,R,"Pacific Electric Building, Los Angeles, California, USA"
tt0114709,Toy Story,1995,22 November 1995,1h 21min,G,"Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA"
tt0114898,Waterworld,1995,28 July 1995,2h 15min,PG-13,"Waipi'o Valley, Hawaii, USA"
tt0116282,Fargo,1996,5 April 1996,1h 38min,R,"Chanhassen Dinner Theatre, Chanhassen, Minnesota, USA"
tt0116629,Independence Day,1996,3 July 1996,2h 25min,PG-13,"Santa Clarita, California, USA"
tt0117060,Mission: Impossible,1996,22 May 1996,1h 50min,PG-13,"Old Town Square, Old Town, Prague, Czech Republic"
tt0118540,4 Little Girls,1997,9 July 1997,1h 42min,TV-14,
tt0119174,The Game,1997,12 September 1997,2h 9min,R,"1 Bush Street, San Francisco, California, USA"
tt0119217,Good Will Hunting,1997,9 January 1998,2h 6min,R,"Massachusetts Turnpike, Massachusetts, USA"
tt0119567,The Lost World: Jurassic Park,1997,23 May 1997,2h 9min,PG-13,"Jurassic Kahili Ranch, Kilauea, Kauai, Hawaii, USA"
tt0119654,Men in Black,1997,2 July 1997,1h 38min,PG-13,"Manhattan, New York City, New York, USA"
tt0120347,Tomorrow Never Dies,1997,19 December 1997,1h 59min,PG-13,Germany
tt0120363,Toy Story 2,1999,24 November 1999,1h 32min,G,"Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA"
tt0120611,Blade,1998,21 August 1998,2h,R,"Long Beach, California, USA"
tt0120623,A Bug's Life,1998,25 November 1998,1h 35min,G,"Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA"
tt0120667,Fantastic Four,2005,8 July 2005,1h 46min,PG-13,"New Orleans, Louisiana, USA"
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,19 December 2001,2h 58min,PG-13,"Fort Dorset, Miramar, Wellington, New Zealand"
tt0120746,The Mask of Zorro,1998,17 July 1998,2h 16min,PG-13,"Atotonilico de Tula, Hidalgo, Mexico"
tt0120755,Mission: Impossible II,2000,24 May 2000,2h 3min,PG-13,"Monument Valley, Arizona, USA"
tt0120762,Mulan,1998,19 June 1998,1h 28min,G,
tt0120783,The Parent Trap,1998,29 July 1998,2h 8min,PG,"27 Berkeley Square, London, England, UK"
tt0120812,Rush Hour,1998,18 September 1998,1h 38min,PG-13,"Greystone Park & Mansion - 905 Loma Vista Drive, Beverly Hills, California, USA"
tt0120815,Saving Private Ryan,1998,24 July 1998,2h 49min,R,"Calvados, France"
tt0120903,X-Men,2000,14 July 2000,1h 44min,PG-13,"Showline Studios, Toronto, Ontario, Canada"
tt0120912,Men in Black II,2002,3 July 2002,1h 28min,PG-13,"American Museum of Natural History - Central Park West at 79th Street, Manhattan, New York City, New York, USA"
tt0120915,Star Wars: Episode I - The Phantom Menace,1999,19 May 1999,2h 16min,PG,"Elstree Studios, Borehamwood, Hertfordshire, England, UK"
tt0121765,Star Wars: Episode II - Attack of the Clones,2002,16 May 2002,2h 22min,PG,"Chott el Djerid, Nefta, Tunisia"
tt0121766,Star Wars: Episode III - Revenge of the Sith,2005,19 May 2005,2h 20min,PG-13,"Chott el Djerid, Nefta, Tunisia"
tt0122718,Small Soldiers,1998,10 July 1998,1h 50min,PG-13,"Columbia/Warner Bros. Ranch - 411 North Hollywood Way, Burbank, California, USA"
tt0126029,Shrek,2001,18 May 2001,1h 30min,PG,
tt0129167,The Iron Giant,1999,6 August 1999,1h 26min,PG,
tt0132477,October Sky,1999,19 February 1999,1h 48min,PG,USA
tt0133093,The Matrix,1999,31 March 1999,2h 16min,R,"AON Tower, Kent Street, Sydney, New South Wales, Australia"
tt0133152,Planet of the Apes,2001,27 July 2001,1h 59min,PG-13,USA
tt0134847,Pitch Black,2000,18 February 2000,1h 49min,R,"Outback, South Australia, Australia"
tt0137523,Fight Club,1999,15 October 1999,2h 19min,R,"421 W. Eighth Street, Los Angeles, California, USA"
tt0138704,Pi,1998,10 July 1998,1h 24min,R,"Brooklyn, New York City, New York, USA"
tt0139654,Training Day,2001,5 October 2001,2h 2min,R,"Santa Clarita, California, USA"
tt0143145,The World Is Not Enough,1999,19 November 1999,2h 8min,PG-13,Kazakhstan
tt0144084,American Psycho,2000,14 April 2000,1h 42min,R,"Alley at 51 Nassau Street, New York, USA"
tt0145487,Spider-Man,2002,3 May 2002,2h 1min,PG-13,"Valhalla, New York, USA"
tt0160127,Charlie's Angels,2000,3 November 2000,1h 38min,PG-13,"Cliffs, Marineland of the Pacific - 6610 Palos Verdes Drive South, Rancho Palos Verdes, California, USA"
tt0162222,Cast Away,2000,22 December 2000,2h 23min,PG-13,"Red Square, Kitai-gorod, Tverskoy District, Moscow, Russia"
tt0163025,Jurassic Park III,2001,18 July 2001,1h 32min,PG-13,"Jurassic Kahili Ranch, Kilauea, Kauai, Hawaii, USA"
tt0167190,Hellboy,2004,2 April 2004,2h 2min,PG-13,Czech Republic
tt0167260,The Lord of the Rings: The Return of the King,2003,17 December 2003,3h 21min,PG-13,"Dry Creek Quarry, Wellington, New Zealand"
tt0167261,The Lord of the Rings: The Two Towers,2002,18 December 2002,2h 59min,PG-13,"Mount Sunday, Canterbury, South Island, New Zealand"
tt0169547,American Beauty,1999,1 October 1999,2h 2min,R,"11388 Homedale Street, Brentwood, Los Angeles, California, USA"
tt0172495,Gladiator,2000,5 May 2000,2h 35min,R,Morocco
tt0180093,Requiem for a Dream,2000,15 December 2000,1h 42min,R,"Brooklyn, New York City, New York, USA"
tt0181689,Minority Report,2002,21 June 2002,2h 25min,PG-13,"Butter Island, Penobscot Bay, Maine, USA"
tt0181852,Terminator 3: Rise of the Machines,2003,2 July 2003,1h 49min,R,"Santa Clarita, California, USA"
tt0181984,Boiler Room,2000,18 February 2000,2h,R,"Garden City, Long Island, New York, USA"
tt0184894,Shanghai Noon,2000,26 May 2000,1h 50min,PG-13,"Mount Cautley, Banff National Park, British Columbia, Canada"
tt0187738,Blade II,2002,22 March 2002,1h 57min,R,Czech Republic
tt0190332,"Crouching Tiger, Hidden Dragon",2000,12 January 2001,2h,PG-13,"Anhui Province, China"
tt0190590,"O Brother, Where Art Thou?",2000,2 February 2001,1h 47min,PG-13,"Vicksburg, Mississippi, USA"
tt0196229,Zoolander,2001,28 September 2001,1h 30min,PG-13,"Corner of N. Moore St. & W. Broadway, New York City, New York, USA"
tt0198781,"Monsters, Inc.",2001,2 November 2001,1h 32min,G,"Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA"
tt0209144,Memento,2000,25 May 2001,1h 53min,R,"Hill Crest Inn, 9111 Sepulveda Blvd, North Hills, California, USA"
tt0210945,Remember the Titans,2000,29 September 2000,1h 53min,PG,"Etowah High School, Woodstock, Georgia, USA"
tt0212720,A.I. Artificial Intelligence,2001,29 June 2001,2h 26min,PG-13,"Guerneville, California, USA"
tt0217869,Unbreakable,2000,22 November 2000,1h 46min,PG-13,"Ontario Street Comic Book Shop, 2235 E. Ontario St., Philadelphia, Pennsylvania, USA"
tt0218839,Best in Show,2000,20 October 2000,1h 30min,PG-13,"Aldergrove, British Columbia, Canada"
tt0227538,Spy Kids,2001,30 March 2001,1h 28min,PG,"Salt Lake City, Utah, USA"
tt0232500,The Fast and the Furious,2001,22 June 2001,1h 46min,PG-13,"2629 W 8th St, Los Angeles, California, USA"
tt0234215,The Matrix Reloaded,2003,15 May 2003,2h 18min,R,"16th Street, Oakland, California, USA"
tt0240772,Ocean's Eleven,2001,7 December 2001,1h 56min,PG-13,"495 North Milwaukee Avenue, Chicago, Illinois, USA"
tt0241527,Harry Potter and the Sorcerer's Stone,2001,16 November 2001,2h 32min,PG,"Warner Bros. Studios, Leavesden, Hertfordshire, England, UK"
tt0242653,Matrix Revolutions,2003,5 November 2003,2h 9min,R,"Alameda, California, USA"
tt0245429,Spirited Away,2001,28 March 2003,2h 5min,PG,
tt0246460,Die Another Day,2002,22 November 2002,2h 13min,PG-13,"Deepdale Farm, Burnham Deepdale, Norfolk, England, UK"
tt0246578,Donnie Darko,2001,26 October 2001,1h 53min,R,"Santa Clarita, California, USA"
tt0247638,The Princess Diaries,2001,3 August 2001,1h 51min,G,"Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA"
tt0248667,Ali,2001,25 December 2001,2h 37min,R,Ghana
tt0250494,Legally Blonde,2001,13 July 2001,1h 36min,PG-13,"Villa del Sol d'Oro, 675 W Highland Ave, Sierra Madre California, USA"
tt0251127,How to Lose a Guy in 10 Days,2003,7 February 2003,1h 56min,PG-13,"Showline Studios, Toronto, Ontario, Canada"
tt0258463,The Bourne Identity,2002,14 June 2002,1h 59min,PG-13,"Seine River, Paris, France"
tt0259484,Paid in Full,2002,25 October 2002,1h 37min,R,"New York City, New York, USA"
tt0264464,Catch Me If You Can,2002,25 December 2002,2h 21min,PG-13,"2186 East Crary Street, Altadena, California, USA"
tt0266543,Finding Nemo,2003,30 May 2003,1h 40min,G,"Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA"
tt0266697,Kill Bill: Vol. 1,2003,10 October 2003,1h 51min,R,"American Cement Building, 2404 Wilshire Boulevard, Los Angeles, California, USA"
tt0267913,Scooby-Doo,2002,14 June 2002,1h 26min,PG,"Bond University, Gold Coast, Queensland, Australia"
tt0268380,Ice Age,2002,15 March 2002,1h 21min,PG,
tt0268978,A Beautiful Mind,2001,4 January 2002,2h 15min,PG-13,"Bayonne, New Jersey, USA"
tt0286106,Signs,2002,2 August 2002,1h 46min,PG-13,"Bensalem Township, Pennsylvania, USA"
tt0286112,Shaolin Soccer,2001,12 July 2001,1h 27min,PG,"Shanghai, China"
tt0286716,Hulk,2003,20 June 2003,2h 18min,PG-13,"Universal City, California, USA"
tt0287717,Spy Kids 2: Island of Lost Dreams,2002,7 August 2002,1h 40min,PG,"Pedernales Falls State Park, Johnson City, Texas, USA"
tt0287978,Daredevil,2003,14 February 2003,1h 43min,PG-13,"Biltmore Hotel - 506 S. Grand Avenue, Downtown, Los Angeles, California, USA"
tt0290095,The Tuxedo,2002,27 September 2002,1h 38min,PG-13,"Casa Loma, Toronto, Ontario, Canada"
tt0290334,X-Men 2,2003,2 May 2003,2h 14min,PG-13,"Burlington, Ontario, Canada"
tt0295297,Harry Potter and the Chamber of Secrets,2002,15 November 2002,2h 41min,PG,"Oxford, Oxfordshire, England, UK"
tt0298148,Shrek 2,2004,19 May 2004,1h 33min,PG,
tt0304141,Harry Potter and the Prisoner of Azkaban,2004,4 June 2004,2h 22min,PG,"England, UK"
tt0316654,Spider-Man 2,2004,30 June 2004,2h 7min,PG-13,"Spring Street Towers - 650 S. Spring Street, Downtown, Los Angeles, California, USA"
tt0317219,Cars,2006,9 June 2006,1h 57min,G,"Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA"
tt0317705,The Incredibles,2004,5 November 2004,1h 55min,PG,"Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA"
tt0317740,The Italian Job,2003,30 May 2003,1h 51min,PG-13,"Long Beach, California, USA"
tt0317919,Mission: Impossible III,2006,5 May 2006,2h 6min,PG-13,"Palm Springs, California, USA"
tt0322259,2 Fast 2 Furious,2003,6 June 2003,1h 47min,PG-13,"Miami, Florida, USA"
tt0325710,The Last Samurai,2003,5 December 2003,2h 34min,R,"Santa Clarita, California, USA"
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,9 July 2003,2h 23min,PG-13,"Bequia, St Vincent and the Grenadines"
tt0327437,Around the World in 80 Days,2004,16 June 2004,2h,PG,Germany
tt0330373,Harry Potter and the Goblet of Fire,2005,18 November 2005,2h 37min,PG-13,UK
tt0332280,The Notebook,2004,25 June 2004,2h 3min,PG-13,"Cypress Gardens - 3030 Cypress Gardens Road, Moncks Corner, South Carolina, USA"
tt0332379,School of Rock,2003,3 October 2003,1h 48min,PG-13,"Buckley Country Day School - I.U. Willets Road, Herricks, Long Island, New York, USA"
tt0332452,Troy,2004,14 May 2004,2h 43min,R,"Blue Lagoon, Comino, Malta"
tt0338459,Spy Kids 3: Game Over,2003,25 July 2003,1h 24min,PG,"Comal County, Texas, USA"
tt0338526,Van Helsing,2004,7 May 2004,2h 11min,PG-13,"Downey Studios - 12214 Lakewood Boulevard, Downey, California, USA"
tt0343818,"I, Robot",2004,16 July 2004,1h 55min,PG-13,"British Columbia Institute of Technology - Aerospace Technology Campus, Vancouver International Airport, 3800 Cessna Drive, Richmond, British Columbia, Canada"
tt0348150,Superman Returns,2006,28 June 2006,2h 34min,PG-13,"Cnr Auckland & King Streets Newcastle, NSW, Australia"
tt0349205,Cheaper by the Dozen,2003,25 December 2003,1h 38min,PG,"357 S. Lorraine Blvd., Los Angeles, California, USA"
tt0349903,Ocean's Twelve,2004,10 December 2004,2h 5min,PG-13,"Phyllis Morris - 8772 Beverly Blvd, West Hollywood, California, USA"
tt0351283,Madagascar,2005,27 May 2005,1h 26min,PG,"Glendale, California, USA"
tt0356910,Mr. & Mrs. Smith,2005,10 June 2005,2h,PG-13,"Vincent Thomas Bridge, San Pedro, Los Angeles, California, USA"
tt0359013,Blade: Trinity,2004,8 December 2004,1h 53min,R,"Intersection of Granville and West Georgia Street, Vancouver, British Columbia, Canada"
tt0360717,King Kong,2005,14 December 2005,3h 7min,PG-13,"Beach Road, Parnell, Auckland, New Zealand"
tt0361596,Fahrenheit 9/11,2004,25 June 2004,2h 2min,R,"Baghdad, Iraq"
tt0361748,Inglourious Basterds,2009,21 August 2009,2h 33min,R,"Brasserie La Renaissance, 112 rue Championnet, Paris 18, Paris, France"
tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,9 December 2005,2h 23min,PG,"Glacier National Park, Montana, USA"
tt0364569,Oldboy,2003,21 November 2003,2h,R,"Songgye High School, Chinju, Kyongsangnam-Do, South Korea"
tt0367594,Charlie and the Chocolate Factory,2005,15 July 2005,1h 55min,PG,UK
tt0368891,National Treasure,2004,19 November 2004,2h 11min,PG,"Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA"
tt0369610,Jurassic World,2015,12 June 2015,2h 4min,PG-13,"Louisiana, USA"
tt0371724,The Hitchhiker's Guide to the Galaxy,2005,29 April 2005,1h 49min,PG,"Canary Islands, Spain"
tt0372183,The Bourne Supremacy,2004,23 July 2004,1h 48min,PG-13,"Los Angeles, California, USA"
tt0372588,Team America: World Police,2004,15 October 2004,1h 38min,R,"Fillmore, California, USA"
tt0372784,Batman Begins,2005,15 June 2005,2h 20min,PG-13,"Coalhouse Fort, East Tilbury, Essex, England, UK"
tt0373074,Kung Fu Hustle,2004,22 April 2005,1h 39min,R,"Shanghai, China"
tt0376994,X-Men: The Last Stand,2006,26 May 2006,1h 44min,PG-13,"British Columbia, Canada"
tt0377092,Mean Girls,2004,30 April 2004,1h 37min,PG-13,"Convocation Hall, University of Toronto-St.George Campus, Toronto, Ontario, Canada"
tt0378194,Kill Bill: Vol. 2,2004,16 April 2004,2h 17min,R,"Careyes, Jalisco, Mexico"
tt0381061,Casino Royale,2006,17 November 2006,2h 24min,PG-13,"Palackého Street, Mladá Boleslav, Czech Republic"
tt0382932,Ratatouille,2007,29 June 2007,1h 51min,G,"Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA"
tt0383574,Pirates of the Caribbean: Dead Man's Chest,2006,7 July 2006,2h 31min,PG-13,Bahamas
tt0386588,Hitch,2005,11 February 2005,1h 58min,PG-13,"12th Street and 7th Avenue, Manhattan, New York City, New York, USA"
tt0386792,Something the Lord Made,2004,30 May 2004,1h 50min,TV-PG,"Johns Hopkins 'Homewood' Campus, Baltimore, Maryland, USA"
tt0389860,Click,2006,23 June 2006,1h 47min,PG-13,"Brooklyn Bridge, New York City, New York, USA"
tt0395169,Hotel Rwanda,2004,4 February 2005,2h 1min,PG-13,Rwanda
tt0395699,The Pacifier,2005,4 March 2005,1h 35min,PG,"Showline Studios, Toronto, Ontario, Canada"
tt0396269,Wedding Crashers,2005,15 July 2005,1h 59min,R,"Gold Ballroom, Biltmore Hotel - 506 S. Grand Avenue, Downtown, Los Angeles, California, USA"
tt0398165,The Longest Yard,2005,27 May 2005,1h 53min,PG-13,"El Camino College, Torrance, California, USA"
tt0398286,Tangled,2010,24 November 2010,1h 40min,PG,
tt0398373,Blade of Kings,2004,12 August 2004,1h 46min,NOT RATED,"Yunnan, China"
tt0401729,John Carter,2012,9 March 2012,2h 12min,PG-13,"Moab, Utah, USA"
tt0401792,Sin City,2005,1 April 2005,2h 4min,R,"Austin, Texas, USA"
tt0405159,Million Dollar Baby,2004,28 January 2005,2h 12min,PG-13,"Hollywood Athletic Club - 6525 W. Sunset Blvd., Hollywood, Los Angeles, California, USA"
tt0405325,Sky High,2005,29 July 2005,1h 40min,PG,"410 Prospect Cir, South Pasadena, California, USA"
tt0405422,The 40-Year-Old Virgin,2005,19 August 2005,1h 56min,R,"Granada Hills, California, USA"
tt0407887,The Departed,2006,6 October 2006,2h 31min,R,"Fore River Ship Yard, Quincy, Massachusetts, USA"
tt0409459,Watchmen,2009,6 March 2009,2h 42min,R,"Bloedel Floral Conservatory, Vancouver, British Columbia, Canada"
tt0409847,Cowboys & Aliens,2011,29 July 2011,1h 59min,PG-13,"Bonanza Creek Ranch - 15 Bonanza Creek Lane, Santa Fe, New Mexico, USA"
tt0411477,Hellboy II: The Golden Army,2008,11 July 2008,2h,PG-13,Hungary
tt0413300,Spider-Man 3,2007,4 May 2007,2h 19min,PG-13,"Greystone Park & Mansion - 905 Loma Vista Drive, Beverly Hills, California, USA"
tt0416449,300,2006,9 March 2007,1h 57min,R,"Montréal, Québec, Canada"
tt0418279,Transformers,2007,3 July 2007,2h 24min,PG-13,"Cesar E Chavez Avenue Viaduct, Downtown, Los Angeles, California, USA"
